"id","locationID","locality","countrCode","occurrenceStatus","eventDate","datasetID"
"PB:Ugent:AqE:255","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:254","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-04-07","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:253","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:261","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:265","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:266","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:263","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-04-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:268","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:269","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-04-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:271","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:287","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-05-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:341","ISO_3166-2:BE-VLG","Flandres","BE","present","2000-05-02","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:250","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-04-10","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:356","ISO_3166-2:BE-VLG","Flandres","BE","present","1998-05-13","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:384","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-09-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:373","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-09-08","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:381","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-11","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:385","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-05-08","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:386","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-08-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:387","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-10-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:437","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-07-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:393","ISO_3166-2:BE-VLG","Flandres","BE","present","2007-10-16","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:342","ISO_3166-2:BE-VLG","Flandres","BE","present","2007-05-21","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:352","ISO_3166-2:BE-VLG","Flandres","BE","present","2001-10-09","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:353","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-10-21","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:354","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-28","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:348","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-05-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:350","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-06-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:349","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-08-10","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:359","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-24","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:358","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-09-08","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:363","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:427","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:428","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:430","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-31","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:388","ISO_3166-2:BE-VLG","Flandres","BE","present","2000-11-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:368","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-11","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:371","ISO_3166-2:BE-VLG","Flandres","BE","present","1999-10-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:372","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-11-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:379","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:380","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:440","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:362","ISO_3166-2:BE-VLG","Flandres","BE","present","1999-11-30","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:391","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-02","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:439","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-07-26","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:417","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-04-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:243","ISO_3166-2:BE-VLG","Flandres","BE","present","1990-07-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:436","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-10-01","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:435","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-05-22","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:438","ISO_3166-2:BE-VLG","Flandres","BE","present","2007-09-04","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:401","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-19","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:411","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-07-15","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:413","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-05-17","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:414","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-05-17","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:355","ISO_3166-2:BE-VLG","Flandres","BE","present","1998-05-04","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:357","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
