taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source
alien-macroinvertebrates-checklist:taxon:771544745a06d6420acf65d4caf558d3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2000/2016,"Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97"
alien-macroinvertebrates-checklist:taxon:78b7dd71b7f4d54200f0ea10d3b232de,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2009/2016,"Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, https://doi.org/10.3391/bir.2012.1.2.06"
alien-macroinvertebrates-checklist:taxon:7b9ca039cc740fd5eebdf394d6723417,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2019/2016,
alien-macroinvertebrates-checklist:taxon:7f5e399dffeb103740c6fbf6fb4fd9e4,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2006/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:85ea227fedd73b5f44e27d7499bed4b3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2009/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:88d79edc97d544cd21a0923c87025404,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1991/2016,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
alien-macroinvertebrates-checklist:taxon:942564e7445603c5a3c446bbf3ee31b2,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1992/2016,"Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53"
alien-macroinvertebrates-checklist:taxon:9db148e57ff943839d2a2f620388fe5d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1998/2016,Boets et al. unpublished data
alien-macroinvertebrates-checklist:taxon:a0ee35fa9d567918867647b37c5d0100,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1997/2016,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
alien-macroinvertebrates-checklist:taxon:a398f04d8e98c79ba3b5d2ea9942e546,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2005/2016,"Soors J, Faasse M, Stevens M, Verbessem I, De Regge N, Van den Bergh E (2010) New crustacean invaders in the Schelde estuary (Belgium). Belgian Journal of Zoology 140: 3–10"
alien-macroinvertebrates-checklist:taxon:a86b04510e47d6273d8c69275f738d60,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1950/2016,"Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12"
alien-macroinvertebrates-checklist:taxon:ab92678a9e8f6b9f4997829e12d52318,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2004/2016,"Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39"
alien-macroinvertebrates-checklist:taxon:ad8ff08319ff0e9051102e6d1722d423,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1600/2016,"Backeljau T (1986) Lijst van de recente mariene mollusken van België. Studiedocumenten van het K.B.I.N. 29. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussel, 106 pp"
alien-macroinvertebrates-checklist:taxon:b1d44a5ac3a3c87bebf51127e8301df2,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1991/2016,"Van Damme P, Mees J, Maebe S (1992) Voorkomen van het Zuiderzeekrabbetje Rhithropanopeus harrisii (Gould, 1841) in de Westerschelde. De Strandvlo 12(1): 19–21"
alien-macroinvertebrates-checklist:taxon:b25905a58f0d4cc12455803326d0d7e0,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1931/2016,"Damas H (1938) Sur la presence dans la Meuse belge de Branchiura sowerbyi, Craspedacusta sowerbyi, et Urnatella gracilis. Annalles de Societé Zoologique Belge 69: 293–310"
alien-macroinvertebrates-checklist:taxon:b2bc19dfbc9d3f248921a6e148ffbaaa,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2010/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:b557e6ee22bcbca0621096f94b9eab42,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2006/2016,"Nuyttens F, Versele G, Loones MA (2006) De aanwezigheid van de penseelkrab Hemigrapsus takanoi en de blaasjeskrab Hemigrapsus sanguineus in NieuwpoortBad. De strandvlo 26: 114–115"
alien-macroinvertebrates-checklist:taxon:b5f3e66d5b03794efd0d0f4e1bf5006f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1997/2016,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
alien-macroinvertebrates-checklist:taxon:b7381586b5f8056006e5838b4fc2c756,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1927/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:b74cb0f47f65095d9d919e2a9c1fc61c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1999/2016,"Boets P, Lock K, Goethals PLM (2011b) Shifts in the gammarid (Amphipoda) fauna of brackish polder waters in Flanders (Belgium). Journal of Crustacean Biology 31: 270–277, https://doi.org/10.1651/10-3357.1"
alien-macroinvertebrates-checklist:taxon:b874beef91a87e42a7512e6d93de1b89,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1992/2016,"Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53"
alien-macroinvertebrates-checklist:taxon:b8ff6e65b73e4723ed65c205e13fb38a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1933/2016,"Vandepitte L, De Poorter D, Lescrauweart A-N, Fockedey N, Mees J (2012) Niet-inheemse soorten van het Belgisch deel van de Noordzee en aanpalende estuaria. VLIZ Special publication 59. Vlaams Instituut voor de Zee (VLIZ): Oostende België, 372 pp"
alien-macroinvertebrates-checklist:taxon:ba6f78baf9a86138db5686bee2268107,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1996/2016,"Seys J, Vincx M, Meire P (1999) Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium). In: Aquatic Oligochaetes, Springer Netherlands, pp 119–132"
alien-macroinvertebrates-checklist:taxon:bac4e1a538c1fac69b816b52f833928c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2008/2016,"Boets P, Lock K, Cammaerts R, Plu D, Goethals PLM (2009) Occurrence of the invasive crayfish Procambarus clarkii (Girard, 1852) in Belgium (Crustacea: Cambaridae). Belgian Journal of Zoology 139: 173–175"
