"taxonID","description","type","source","language"
"alien-macroinvertebrates:taxon:3978a92354724ef73a33fd372023fcb2","cbd_2014_pathway:stowaway_ballast_water","pathway","Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03","en"
"alien-macroinvertebrates:taxon:3978a92354724ef73a33fd372023fcb2","freshwater","habitat","Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03","en"
"alien-macroinvertebrates:taxon:3978a92354724ef73a33fd372023fcb2","brackish","habitat","Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03","en"
"alien-macroinvertebrates:taxon:39ed57053da56ec1a35d91ba054ed65a","Northern America","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:39ed57053da56ec1a35d91ba054ed65a","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:39ed57053da56ec1a35d91ba054ed65a","brackish","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:3db73d0aa90d26487c229ea067087531","West Africa","native range","Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, http://dx.doi.org/10.1007/BF03043033","en"
"alien-macroinvertebrates:taxon:3db73d0aa90d26487c229ea067087531","Indo-Pacific","native range","Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, http://dx.doi.org/10.1007/BF03043033","en"
"alien-macroinvertebrates:taxon:3db73d0aa90d26487c229ea067087531","cbd_2014_pathway:stowaway_hull_fouling","pathway","Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, http://dx.doi.org/10.1007/BF03043033","en"
"alien-macroinvertebrates:taxon:3db73d0aa90d26487c229ea067087531","marine","habitat","Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, http://dx.doi.org/10.1007/BF03043033","en"
"alien-macroinvertebrates:taxon:464f0edd615ac93ab279f425dc1060a3","Eastern Europe","native range","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:464f0edd615ac93ab279f425dc1060a3","cbd_2014_pathway:escape_aquaculture","pathway","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:464f0edd615ac93ab279f425dc1060a3","cbd_2014_pathway:escape_pet","pathway","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:464f0edd615ac93ab279f425dc1060a3","freshwater","habitat","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:48735233e21ae4254b0691f8eef543c2","Northern America","native range","Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42","en"
"alien-macroinvertebrates:taxon:48735233e21ae4254b0691f8eef543c2","cbd_2014_pathway:contaminant_on_animals","pathway","Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42","en"
"alien-macroinvertebrates:taxon:48735233e21ae4254b0691f8eef543c2","marine","habitat","Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42","en"
"alien-macroinvertebrates:taxon:4e75374d4157cc047fea212a1f0774c7","Northern America","native range","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:4e75374d4157cc047fea212a1f0774c7","cbd_2014_pathway:stowaway_other","pathway","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:4e75374d4157cc047fea212a1f0774c7","freshwater","habitat","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:54cca150e1e0b7c0b3f5b152ae64d62b","Southern Europe","native range","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:54cca150e1e0b7c0b3f5b152ae64d62b","cbd_2014_pathway:escape_pet","pathway","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:54cca150e1e0b7c0b3f5b152ae64d62b","freshwater","habitat","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:561d4e5573f8471fb2a071995dec3d52","Asia","native range","Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81","en"
"alien-macroinvertebrates:taxon:561d4e5573f8471fb2a071995dec3d52","cbd_2014_pathway:contaminant_on_animals","pathway","Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81","en"
"alien-macroinvertebrates:taxon:561d4e5573f8471fb2a071995dec3d52","cbd_2014_pathway:escape_aquaculture","pathway","Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81","en"
"alien-macroinvertebrates:taxon:561d4e5573f8471fb2a071995dec3d52","freshwater","habitat","Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81","en"
"alien-macroinvertebrates:taxon:563893a5246109760d8b15c5692dab7f","Southeast Asia","native range","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:563893a5246109760d8b15c5692dab7f","cbd_2014_pathway:stowaway_ballast_water","pathway","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:563893a5246109760d8b15c5692dab7f","freshwater","habitat","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:563893a5246109760d8b15c5692dab7f","brackish","habitat","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:5a7d3a2d0f5058bef64c0e463c16f835","Asia","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:5a7d3a2d0f5058bef64c0e463c16f835","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:5a7d3a2d0f5058bef64c0e463c16f835","freshwater","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:5f77a478af2f3845a6ed9eae16cf63d3","Northern America","native range","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:5f77a478af2f3845a6ed9eae16cf63d3","cbd_2014_pathway:stowaway_hull_fouling","pathway","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:5f77a478af2f3845a6ed9eae16cf63d3","freshwater","habitat","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:64a2cbc71721e7abf43b95f5c312419b","Ponto-Caspian","native range","Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39","en"
"alien-macroinvertebrates:taxon:64a2cbc71721e7abf43b95f5c312419b","cbd_2014_pathway:corridor_water","pathway","Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39","en"
"alien-macroinvertebrates:taxon:64a2cbc71721e7abf43b95f5c312419b","freshwater","habitat","Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39","en"
"alien-macroinvertebrates:taxon:64a2cbc71721e7abf43b95f5c312419b","brackish","habitat","Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39","en"
"alien-macroinvertebrates:taxon:64adea5e00ac03a99d28288ebc0e52dd","Ponto-Caspian","native range","Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245","en"
"alien-macroinvertebrates:taxon:64adea5e00ac03a99d28288ebc0e52dd","cbd_2014_pathway:escape_aquaculture","pathway","Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245","en"
"alien-macroinvertebrates:taxon:64adea5e00ac03a99d28288ebc0e52dd","freshwater","habitat","Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245","en"
"alien-macroinvertebrates:taxon:67189cebf64e76770c12395f500dd57d","Northern America","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:67189cebf64e76770c12395f500dd57d","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:67189cebf64e76770c12395f500dd57d","freshwater","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:6843328975affdc8b983f211bb60e6a4","Ponto-Caspian","native range","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:6843328975affdc8b983f211bb60e6a4","cbd_2014_pathway:corridor_water","pathway","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:6843328975affdc8b983f211bb60e6a4","freshwater","habitat","Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
"alien-macroinvertebrates:taxon:73f271d93128a4e566e841ea6e3abff0","North Africa","native range","Van Goethem JL, Sablon R (1986) Ferrissia wautieri (Mirolli, 1960), a freshwater limpet new to Belgium (Mollusca, Gastropoda, Ancylidae). Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie 56:155–157","en"
"alien-macroinvertebrates:taxon:73f271d93128a4e566e841ea6e3abff0","cbd_2014_pathway:escape_pet","pathway","Van Goethem JL, Sablon R (1986) Ferrissia wautieri (Mirolli, 1960), a freshwater limpet new to Belgium (Mollusca, Gastropoda, Ancylidae). Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie 56:155–157","en"
"alien-macroinvertebrates:taxon:73f271d93128a4e566e841ea6e3abff0","freshwater","habitat","Van Goethem JL, Sablon R (1986) Ferrissia wautieri (Mirolli, 1960), a freshwater limpet new to Belgium (Mollusca, Gastropoda, Ancylidae). Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie 56:155–157","en"
"alien-macroinvertebrates:taxon:76f65e67aff98533cbd14c990787b579","Ponto-Caspian","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:76f65e67aff98533cbd14c990787b579","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:76f65e67aff98533cbd14c990787b579","freshwater","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:771544745a06d6420acf65d4caf558d3","Ponto-Caspian","native range","Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97","en"
"alien-macroinvertebrates:taxon:771544745a06d6420acf65d4caf558d3","cbd_2014_pathway:stowaway_hull_fouling","pathway","Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97","en"
"alien-macroinvertebrates:taxon:771544745a06d6420acf65d4caf558d3","freshwater","habitat","Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97","en"
"alien-macroinvertebrates:taxon:78b7dd71b7f4d54200f0ea10d3b232de","Ponto-Caspian","native range","Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, http://dx.doi.org/10.3391/bir.2012.1.2.06","en"
"alien-macroinvertebrates:taxon:78b7dd71b7f4d54200f0ea10d3b232de","cbd_2014_pathway:corridor_water","pathway","Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, http://dx.doi.org/10.3391/bir.2012.1.2.06","en"
"alien-macroinvertebrates:taxon:78b7dd71b7f4d54200f0ea10d3b232de","freshwater","habitat","Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, http://dx.doi.org/10.3391/bir.2012.1.2.06","en"
"alien-macroinvertebrates:taxon:7f5e399dffeb103740c6fbf6fb4fd9e4","Northern America","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:7f5e399dffeb103740c6fbf6fb4fd9e4","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:7f5e399dffeb103740c6fbf6fb4fd9e4","freshwater","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:85ea227fedd73b5f44e27d7499bed4b3","Ponto-Caspian","native range","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:85ea227fedd73b5f44e27d7499bed4b3","cbd_2014_pathway:stowaway_ballast_water","pathway","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:85ea227fedd73b5f44e27d7499bed4b3","freshwater","habitat","Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, http://dx.doi.org/10.3391/ai.2013.8.1.04","en"
"alien-macroinvertebrates:taxon:88d79edc97d544cd21a0923c87025404","Northern America","native range","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:88d79edc97d544cd21a0923c87025404","cbd_2014_pathway:corridor_water","pathway","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:88d79edc97d544cd21a0923c87025404","freshwater","habitat","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:88d79edc97d544cd21a0923c87025404","brackish","habitat","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:942564e7445603c5a3c446bbf3ee31b2","Asia","native range","Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53","en"
"alien-macroinvertebrates:taxon:942564e7445603c5a3c446bbf3ee31b2","cbd_2014_pathway:corridor_water","pathway","Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53","en"
"alien-macroinvertebrates:taxon:942564e7445603c5a3c446bbf3ee31b2","freshwater","habitat","Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","Southern Europe","native range","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","cbd_2014_pathway:corridor_water","pathway","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","cbd_2014_pathway:stowaway_hull_fouling","pathway","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","cbd_2014_pathway:stowaway_other","pathway","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","freshwater","habitat","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:9db148e57ff943839d2a2f620388fe5d","brackish","habitat","Boets et al. unpublished data","en"
"alien-macroinvertebrates:taxon:a0ee35fa9d567918867647b37c5d0100","Ponto-Caspian","native range","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:a0ee35fa9d567918867647b37c5d0100","cbd_2014_pathway:corridor_water","pathway","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:a0ee35fa9d567918867647b37c5d0100","freshwater","habitat","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:a0ee35fa9d567918867647b37c5d0100","brackish","habitat","Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39","en"
"alien-macroinvertebrates:taxon:a398f04d8e98c79ba3b5d2ea9942e546","Northern America","native range","Soors J, Faasse M, Stevens M, Verbessem I, De Regge N, Van den Bergh E (2010) New crustacean invaders in the Schelde estuary (Belgium). Belgian Journal of Zoology 140: 3–10","en"
