"language","license","""Ghent University Aquatic Ecology""","accessRights","datasetID","datasetName","references","taxonID","scientificName","kingdom","phylum","order","family","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:51","Mytilopsis leucophaeata","Animalia","Mollusca","Veneroidea","Dreissenidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:52","Orchestia cavimana","Animalia","Crustacea","Amphipoda","Talitridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:53","Orconectes limosus","Animalia","Crustacea","Decapoda","Cambaridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:54","Pacifastacus leniusculus","Animalia","Crustacea","Decapoda","Astacidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:55","Palaemon macrodactylus","Animalia","Crustacea","Decapoda","Palaemonidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:56","Petricolaria pholadiformis","Animalia","Mollusca","Veneroidea","Veneridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:57","Physella acuta","Animalia","Mollusca","Pulmonata","Physidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:58","Potamopyrgus antipodarum","Animalia","Mollusca","Neotaenioglossa","Hydrobiidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:59","Potamothrix vejdovskyi","Animalia","Annelida","Tubficida","Tubificidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:60","Proasellus coxalis","Animalia","Crustacea","Isopoda","Asellidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:61","Proasellus meridianus","Animalia","Crustacea","Isopoda","Asellidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:62","Procambarus clarkii","Animalia","Crustacea","Decapoda","Cambaridae","species","ICZN"
